sector,name,url
Agriculture & Cooperation,"Biju Swasthya Kalyan Yojana, Odisha",https://bsky.odisha.gov.in/
Agriculture & Cooperation,"Holistic Agriculture Development Program, Jammu and Kashmir",https://hadp.jk.gov.in/
Agriculture & Cooperation,"Gujarat State Warehousing Corporation, Gujarat",https://gswc.gujarat.gov.in/index.htm
Agriculture & Cooperation,"Indian Council of Agricultural Research, Nagaland",https://icarnagaland.nic.in/
Agriculture & Cooperation,National Agriculture Market Portal (NAM),https://www.enam.gov.in/
Agriculture & Cooperation,Commission for Agricultural Costs and Prices (CACP),https://cacp.da.gov.in/
Agriculture & Cooperation,"Vegetable and Fruit Promotion Council Keralam, Kerala",https://www.vfpck.org/
Agriculture & Cooperation,"Agriculture Development and Farmer Welfare and Bio-Technology Department, Chhattisgarh",https://agriportal.cg.nic.in/
Agriculture & Cooperation,Agricultural Education Portal,https://education.icar.gov.in/
Agriculture & Cooperation,"Academic Management System-University of Horticultural Sciences, Bagalkot",https://amsuhs.icar.gov.in/
Agriculture & Cooperation,Coconut Development Board,https://coconutboard.gov.in/
Agriculture & Cooperation,"Sericulture Department, Tamil Nadu",https://tnsericulture.tn.gov.in/
Agriculture & Cooperation,"Central Ground Water Board, Northern Region, Lucknow",
Agriculture & Cooperation,"Mission Kakatiya, Telangana",https://missionkakatiya.cgg.gov.in/
Agriculture & Cooperation,Post-Graduate Programme Indian Agricultural Research Institute Managment System (IARI),
Agriculture & Cooperation,"Commissioner of Fisheries, Gujarat",https://www.cof.gujarat.gov.in/
Agriculture & Cooperation,"Agricultural Planning and Information Bank (APIB), East Khasi Hills District, Meghalaya",
Agriculture & Cooperation,"National Bureau of Fish Genetic Resources (NBFGR), Lucknow",https://www.nbfgr.res.in/
Agriculture & Cooperation,Indian Institute of Millets Research (IIMR),https://millets.res.in/
Agriculture & Cooperation,Mission for Integrated Development of Horticulture (MIDH),https://midh.gov.in/
Agriculture & Cooperation,"Institute of Co-Operative Management (ICM), Imphal",
Agriculture & Cooperation,National Horticulture Board (NHB),https://nhb.gov.in/
Agriculture & Cooperation,National Portal on Mechanization and Technology,https://farmech.dac.gov.in/
Agriculture & Cooperation,"Odisha Bamboo Development Agency, Odisha",
Agriculture & Cooperation,Central Integrated Pest Management Centre (CIPMC),
Agriculture & Cooperation,"Agriculture Produce Procurement Portal, Himachal Pradesh",https://hpappp.nic.in/
Agriculture & Cooperation,"Directorate of Agriculture, Gujarat",https://dag.gujarat.gov.in/
Agriculture & Cooperation,"Directorate of Animal Husbandry, Gujarat",https://doah.gujarat.gov.in/
Agriculture & Cooperation,"Farm Information Bureau, Kerala",https://www.fibkerala.gov.in/
Agriculture & Cooperation,"Agriculture Secretariat, Karnataka",https://agriculture.karnataka.gov.in/
Agriculture & Cooperation,"Free Seedling Distribution, Delhi",https://dillifreetree.eforest.delhi.gov.in/
Agriculture & Cooperation,"Institute of Co-operative Management (ICM), Guwahati",https://icmguwahati.gov.in/
Agriculture & Cooperation,D-Krishi - Aadhaar Enabled Seed Distribution System of Andhra Pradesh,https://eseed.ap.gov.in/
Agriculture & Cooperation,"Agriculture and Horticulture Department, Assam",https://agri-horti.assam.gov.in/
Agriculture & Cooperation,"Central Sericultural Germplasm Resources Centre (CSGRC), Hosur",
Agriculture & Cooperation,"Gujarat State Co-Operative Tribunal, Gujarat",https://gscot.gujarat.gov.in/
Agriculture & Cooperation,Farmers Portal-One Stop Shop For Farmers,
Agriculture & Cooperation,"KIRAN - Knowledge Innovation Repository of Agriculture in the North East, ICAR",https://kiran.nic.in/
Agriculture & Cooperation,Central Fertilizer Quality Control and Training Institute,
Agriculture & Cooperation,NOC Approval for New Drug and Inoculation System Portal,https://nandi.gov.in/dahd
Agriculture & Cooperation,"ICAR Agricultural Technology Application Research Institute (ICAR-ATARI), Bangalore",https://ataribengaluru.icar.gov.in/
Agriculture & Cooperation,Soil Health Card,https://soilhealth.dac.gov.in/
Agriculture & Cooperation,"YSR Sunna Vaddi Panta Runaalu, Andhra Pradesh",
Agriculture & Cooperation,"Co-operation Department, Haryana",https://rcsharyana.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra (KVK), Lower Dibang Valley District, Arunachal Pradesh",https://kvkbalek.nic.in/
Agriculture & Cooperation,"Madhya Pradesh State Agricultural Marketing (Mandi) Board, Madhya Pradesh",https://mpmandiboard.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra, Phek, Nagaland",
Agriculture & Cooperation,Pradhan Mantri Fasal Bima Yojana: Crop Insurance Portal,https://pmfby.gov.in/
Agriculture & Cooperation,"Horticulture Department, Himachal Pradesh",https://eudyan.hp.gov.in/
Agriculture & Cooperation,"Agricultural Census, New Delhi",https://agcensus.gov.in/
Agriculture & Cooperation,Academic Management System-Central Agricultural University,https://amscau.icar.gov.in/
Agriculture & Cooperation,"Directorate of Soil Conservation and Watershed Development, Odisha",https://www.soilodisha.nic.in/
Agriculture & Cooperation,ICAR-Indian Agricultural Statistics Research Institute,https://www.iasri.res.in/
Agriculture & Cooperation,"Gujarat Sheep & Wool Development Corporation Limited, Gujarat",https://gusheel.gujarat.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra (KVK), Baramati, Maharashtra",https://www.kvkbaramati.com/
Agriculture & Cooperation,"Punjab State Seed Certification Authority, Punjab",https://pssca.punjab.gov.in/
Agriculture & Cooperation,Unified Tool for Concurrent Feedback on Krishi Schemes,https://utckarsh.gov.in/
Agriculture & Cooperation,State Public Procurement Portal of Assam,https://sppp.assam.gov.in/#/en
Agriculture & Cooperation,National Agricultural Higher Education Project,https://nahep.icar.gov.in/
Agriculture & Cooperation,Indian Agricultural Research Institute (IARI),https://www.iari.res.in/
Agriculture & Cooperation,"Northern Farm Machinery Training and Testing Institute, Hissar",
Agriculture & Cooperation,National Bamboo Mission,https://nbm.da.gov.in/
Agriculture & Cooperation,"Directorate of Agricultural Marketing, Delhi",https://damb.delhi.gov.in/
Agriculture & Cooperation,Direct Benefit Transfer Portal for Agriculture Schemes,https://dbtdacfw.gov.in/
Agriculture & Cooperation,"Indian Council of Agricultural Research, Tripura",
Agriculture & Cooperation,Digital Platform for Farm Mechanization and Technology,https://agrimachinery.nic.in/
Agriculture & Cooperation,"e-Demonstration Portal, Odisha",https://odishaagridemo.nic.in/
Agriculture & Cooperation,"Telangana Kisan Portal, Telangana",
Agriculture & Cooperation,"National Mission On Micro Irrigation, Haryana",
Agriculture & Cooperation,"ICAR-National Research Centre for Banana, Tiruchirapalli",https://nrcb.icar.gov.in/
Agriculture & Cooperation,"Pune Branch of WIRC, The Institute of Chartered Accountants of India (ICAI)",https://www.puneicai.org/
Agriculture & Cooperation,"Weights & Measures Division, Bihar",https://maaptaul.bih.nic.in/lmd
Agriculture & Cooperation,"ICAR - National Institute Of Veterinary Epidemiology And Disease Informatics, Bangalore,",https://www.nivedi.res.in/
Agriculture & Cooperation,"Registrar of Cooperative Societies, Arunachal Pradesh",https://cooparun.nic.in/
Agriculture & Cooperation,"ICAR - Indian Institute of Farming Systems Research (IIFSR), Meerut",https://iifsr.icar.gov.in/
Agriculture & Cooperation,"ICAR - National Bureau of Agricultural Insect Resources (NBAIR), Bangalore",https://www.nbair.res.in/
Agriculture & Cooperation,"National Horticulture Mission, Maharashtra",https://hortnet.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra (KVK), West Garo Hills",https://kvkwestgarohills.nic.in/
Agriculture & Cooperation,"Cane Care Software, Bihar",https://ccs.bihar.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra, Tawang",https://kvktawang.nic.in/
Agriculture & Cooperation,Agriculture Marketing Information System Network (AGMARKNET),https://agmarknet.gov.in/
Agriculture & Cooperation,National Institute of Plant Health Management (NIPHM),https://niphm.gov.in/
Agriculture & Cooperation,"Central Institute of Horticulture, Nagaland",
Agriculture & Cooperation,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),https://pmkisan.gov.in/
Agriculture & Cooperation,Pradhan Mantri Kisaan Maan-dhan Yojana (PM-KMY),https://pmkmy.gov.in/
Agriculture & Cooperation,"Rainfall Recording and Analysis, Department of Agriculture, Maharashtra",https://maharain.maharashtra.gov.in/
Agriculture & Cooperation,Academic Management System-National Dairy Research Institute,https://amsndri.icar.gov.in/
Agriculture & Cooperation,"Directorate of Mushroom Research, Solan, Himachal Pradesh",https://dmrsolan.icar.gov.in/
Agriculture & Cooperation,Directorate of Cashewnut and Cocoa Development (DCCD),https://www.dccd.gov.in/
Agriculture & Cooperation,Innovation and Agri-enterpreneurship,https://agristartup.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra, Anjaw, Arunachal Pradesh",https://kvkanjaw.nic.in/
Agriculture & Cooperation,"CSK Himachal Pradesh Agricultural University, Palampur, Himachal Pradesh",
Agriculture & Cooperation,"The Haryana State CO-OP Apex Bank Ltd., Haryana",https://www.harcobank.org.in/
Agriculture & Cooperation,"HAFED - Haryana State Cooperative Supply & Marketing Federation Limited, Haryana",
Agriculture & Cooperation,KRISHI VISTAR-Directorate of Extension,https://krishivistar.gov.in/
Agriculture & Cooperation,Rashtriya Krishi Vikas Yojana (RKVY),https://rkvy.da.gov.in/
Agriculture & Cooperation,"Farmer Procurement Portal, Gujarat",https://fpp.gujarat.gov.in/
Agriculture & Cooperation,National Agriculture Infra Financing Facility,https://agriinfra.dac.gov.in/
Agriculture & Cooperation,National Centre of Organic and Natural Farming,https://nconf.dac.gov.in/
Agriculture & Cooperation,"Institute of Co-operative and Corporate Management, Research & Training, Lucknow, Uttar Pradesh",https://www.iccmrt.ac.in/
Agriculture & Cooperation,"KVK Serchhip, Mizoram",https://kvkserchhip.mizoram.gov.in/
Agriculture & Cooperation,Agri-Exchange,https://agriexchange.apeda.gov.in/
Agriculture & Cooperation,"ICAR - Indian Institute of Seed Science, Mau, Uttar Pradesh",https://seedres.icar.gov.in/
Agriculture & Cooperation,Directorate of Economics and Statistics (DES),https://desagri.gov.in/
Agriculture & Cooperation,Technology Mission for Developement of Horticulture in North Eastern and Himalayan States,https://tmnehs.gov.in/
Agriculture & Cooperation,"KSCSTE - Jawaharlal Nehru Tropical Botanical Garden and Research Institute, Kerala",https://jntbgri.res.in/
Agriculture & Cooperation,"Institute of Co-operative Management, Pune",https://www.icmpune.org/
Agriculture & Cooperation,"Farmer Registration and Unified beneficiary Information System, Karnataka",https://fruits.karnataka.gov.in/
Agriculture & Cooperation,"ICAR-National Research Centre on Pomegranate, Solapur",
Agriculture & Cooperation,"National Bureau of Animal Genetic Resources (NBAGR), Karnal",https://nbagr.icar.gov.in/
Agriculture & Cooperation,"Natesan Institute of Co-Operative Management (NICM), Chennai",
Agriculture & Cooperation,National Institute of Agricultural Marketing (NIAM),https://ccsniam.gov.in/
Agriculture & Cooperation,"Project Management Information System, Bihar",https://rcdonline.bih.nic.in/
Agriculture & Cooperation,National Seed Research and Training Centre (NSRTC),
Agriculture & Cooperation,"Directorate of Agricultural Marketing and Agriculture Foreign Trade, Uttar Pradesh",https://www.upkrishivipran.in/
Agriculture & Cooperation,"RYTHU BANDHU (Agriculture Investment Support Scheme), RYTHU BIMA (Farmer's Insurance), Telangana",https://rythubandhu.telangana.gov.in/
Agriculture & Cooperation,"Department of Agriculture and Farmers Welfare Kashmir, Jammu and Kashmir",https://diragrikmr.nic.in/
Agriculture & Cooperation,Directorate of Marketing and Inspection (DMI),https://dmi.gov.in/
Agriculture & Cooperation,National Centre for Cold-Chain Development (NCCD),https://nccd.gov.in/
Agriculture & Cooperation,Directorate of Plant Protection Quarantine and Storage,https://ppqs.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra, East Kameng",https://kvkeastkameng.nic.in/
Agriculture & Cooperation,Integrated Fertilizer Management System,https://dbtfert.nic.in/
Agriculture & Cooperation,National Council for Co-operative Training (NCCT),https://www.ncct.ac.in/
Agriculture & Cooperation,"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology Udaipur, Rajasthan",https://www.ctae.ac.in/
Agriculture & Cooperation,"ICAR-National Institute of Aboitic Stress Management, Malegaon",https://niasm.icar.gov.in/
Agriculture & Cooperation,"Crop Loan Waiver System, Karnataka",https://clws.karnataka.gov.in/
Agriculture & Cooperation,"ICAR-Central Soil And Water Conservation Research and Training Institute, Dehradun",
Agriculture & Cooperation,Indian Institute of Horticultural Research (IIHR),https://www.iihr.res.in/
Agriculture & Cooperation,"National Dairy Research Institute, Karnal",https://ndri.res.in/
Agriculture & Cooperation,Participatory Guarantee System PGS for India,https://pgsindia-ncof.gov.in/
Agriculture & Cooperation,"Seed Authentication, Traceability and Holistic Inventory (SATHI)",https://seedtrace.gov.in/ms014
Agriculture & Cooperation,"Gujarat State Seed Corporation Limited, Gujarat",
Agriculture & Cooperation,"Small Farmers Agri-Business Consortium (SFAC), New Delhi",
Agriculture & Cooperation,"Vasantrao Naik Marathwada Krishi Vidyapeeth, Parbhani , Maharashtra",https://www.vnmkv.ac.in/
Agriculture & Cooperation,Unified Portal for Agriculture Statistics,https://upag.gov.in/
Agriculture & Cooperation,"Directorate of Horticulture, Rajasthan",
Agriculture & Cooperation,Assam Small Farmers Agri-Business Consortium (ASFAC),https://asfac.assam.gov.in/
Agriculture & Cooperation,"Assam Rural Infrastructure and Agricultural Services Society, (ARIAS)",https://arias.in/
Agriculture & Cooperation,"Agricultural Marketing Department, Andhra Pradesh",https://market.ap.nic.in/
Agriculture & Cooperation,"ICAR-National Research Centre on Mithun, Dimapur",https://nrcmithun.icar.gov.in/
Agriculture & Cooperation,"Meghalaya State Agricultural Marketing Board, Meghalaya",https://megamb.gov.in/
Agriculture & Cooperation,"Uttar Pradesh Cooperative Sugar Factories Federation Limited, Uttar Pradesh",
Agriculture & Cooperation,"Directorate of Agriculture Production & Farmers Welfare, Jammu, Jammu and Kashmir",https://diragrijmu.nic.in/
Agriculture & Cooperation,"ICAR-ATARI Zone IX, Jabalpur, Madhya Pradesh",https://atarijabalpur.icar.gov.in/
Agriculture & Cooperation,"Agriculture Department, Karnataka",https://raitamitra.karnataka.gov.in/
Agriculture & Cooperation,"Horticulture Department, Telangana",https://horticulture.tg.nic.in/
Agriculture & Cooperation,"HP Crop Diversification Promotion Project, Himachal Pradesh",
Agriculture & Cooperation,"Krishi Vigyan Kendra (KVK), Reasi, Jammu and Kashmir",https://kvkreasi.nic.in/
Agriculture & Cooperation,"Madhusudan Institute of Co-operative Management (MICM), Bhubaneswar",https://icmbhubaneswar.nic.in/
Agriculture & Cooperation,"ICAR-Agricultural Technology Application Research Institute (ATARI), Hyderabad",https://atari-hyderabad.icar.gov.in/
Agriculture & Cooperation,Indian Council of Agricultural Research (ICAR),https://www.icar.org.in/
Agriculture & Cooperation,"SeedNet India Portal-National Initiative for Information on Quality Seeds, New Delhi",https://seednet.gov.in/
Agriculture & Cooperation,"Horticulture Directorate, Agriculture Department, Bihar",https://horticulture.bihar.gov.in/
Agriculture & Cooperation,"Hydrology Project, Chhattisgarh",https://hydrologyproject.cg.gov.in/
Agriculture & Cooperation,"Agriculture Department, Sikkim",https://agri.sikkim.gov.in/
Agriculture & Cooperation,National Mission on Oilseeds and Oil Palm (NMOOP),https://nmeo.dac.gov.in/
Agriculture & Cooperation,"Agriculture Production & Farmers Welfare Department, Jammu and Kashmir",https://jkapd.nic.in/
Agriculture & Cooperation,Agricultural Meteorology Division,https://www.imdagrimet.gov.in/
Agriculture & Cooperation,"M.P. Biotechnology Council Bhopal, Madhya Pradesh",https://www.mpbiotech.nic.in/
Agriculture & Cooperation,"ICAR-Central Tobacco Research Institute, Rajahmundry",https://ctri.icar.gov.in/
Agriculture & Cooperation,"Directorate of Silk, Maharashtra",https://mahasilk.maharashtra.gov.in/
Agriculture & Cooperation,"Indira Gandhi Krishi Vishwavidyalaya, Raipur",https://igkv.ac.in/
Agriculture & Cooperation,"Directorate of Agriculture, Gujarat",https://dag.gujarat.gov.in/index.htm
Agriculture & Cooperation,Directorate of Jute Development,https://jute.dac.gov.in/
Agriculture & Cooperation,"Central Agricultural University, Imphal",https://cau.ac.in/
Agriculture & Cooperation,"Command Area Development, Jammu, Jammu and Kashmir",https://cadjmu.nic.in/
Agriculture & Cooperation,"Institute of Co-operative Management, Dehradun",https://icmdehradun.com/
Agriculture & Cooperation,"Meri Fasal, Mera Byora, Haryana",https://fasal.haryana.gov.in/
Agriculture & Cooperation,"Co-operation Department, Andhra Pradesh",https://apcooperation.nic.in/
Agriculture & Cooperation,Academic Management System-Indian Veterinary Research Institute,https://amsivri.icar.gov.in/
Agriculture & Cooperation,"Protection of Plant Varieties and Farmers Rights Authority, New Delhi",https://www.plantauthority.gov.in/
Agriculture & Cooperation,Assam Rajiv Gandhi University of Cooperative Management,https://argucom.assam.gov.in/
Agriculture & Cooperation,"Kerala State Co-operative Textile Federation Ltd. (TEXFED), Kerala",https://texfed.kerala.gov.in/
Agriculture & Cooperation,"North Eastern Farm Machinery Training and Testing Institute, Chariali",https://nerfmtti.nic.in/
Agriculture & Cooperation,"Kerala State Horticulture Mission, Kerala",
Agriculture & Cooperation,"Registrar of Cooperative Societies, Assam",https://rcs.assam.gov.in/
Agriculture & Cooperation,"Santacruz Electronic Export Processing Zone (SEEPZ), Maharashtra",
Agriculture & Cooperation,"Horticulture Department, Haryana",https://hortharyana.gov.in/
Agriculture & Cooperation,"The Tamil Nadu Agricultural University (TNAU), Tamil Nadu",https://agritech.tnau.ac.in/
Agriculture & Cooperation,"Uttar Pradesh State Cooperative Society Election Commission, Uttar Pradesh",https://upscec.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra (KVK), Lower Subansiri, Arunachal Pradesh",https://kvklowersubansiri.nic.in/
Agriculture & Cooperation,"Agricultural Engineering Department, Tamil Nadu",https://aed.tn.gov.in/ta
Agriculture & Cooperation,"COMPOSE - Comprehensive Operations and Management of Presses Over Secure Environment, Kerala",https://compose.kerala.gov.in/
Agriculture & Cooperation,National Seeds Corporation Limited (NSC),https://indiaseeds.com/
Agriculture & Cooperation,Kisan-eMitra,https://kisanemitra.gov.in/
Agriculture & Cooperation,Indian Institute of Oilseeds Research (IIOR),https://icar-iior.org.in/
Agriculture & Cooperation,"Haryana State Seed Certification Agency (HSSCA), Haryana",https://hssca.org.in/
Agriculture & Cooperation,Academic Management System-Central Institute of Fisheries Education,https://amscife.icar.gov.in/
Agriculture & Cooperation,"ICAR - Central Island Agricultural Research Institute (CIARI), Port Blair",https://ciari.icar.gov.in/
Agriculture & Cooperation,Directorate of Pulses Development,https://dpd.gov.in/
Animal Husbandry & Fishing,Central Institute of Fisheries Nautical and Engineering Training,https://cifnet.gov.in/
Animal Husbandry & Fishing,"Regional Station for Forage Production and Demonstration, Pahadi Sharif",https://rsfpdhyd.nic.in/
Animal Husbandry & Fishing,"P.V. Narsimha Rao Telangana Veterinary University, RajendraNagar, Hyderabad, Telangana",https://tsvu.nic.in/
Animal Husbandry & Fishing,"Central Sheep Breeding Farm, Hisar",https://csbfhsr.com/
Animal Husbandry & Fishing,"Fisheries Department, West Bengal",https://www.wbfisheries.in/
Animal Husbandry & Fishing,"Centre of Excellence for Animal Husbandry (CEAH), Bengaluru",
Animal Husbandry & Fishing,Veterinary Council of India (VCI),https://vci.dahd.gov.in/
Animal Husbandry & Fishing,"Agriculture, Animal Husbandry and Cooperative Department, Jharkhand",https://agri.jharkhand.gov.in/
Animal Husbandry & Fishing,"Directorate of Coldwater fisheries Research, Uttarakhand",https://www.dcfr.res.in/
Animal Husbandry & Fishing,"West Bengal Cooperative Milk Producers Federation Ltd., West Bengal",https://www.benmilk.com/
Animal Husbandry & Fishing,"Animal Husbandary Department, Chhattisgarh",https://agriportal.cg.nic.in/ahd
Animal Husbandry & Fishing,"National Research Center on Camel (NRCC), Bikaner",https://nrccamel.icar.gov.in/
Animal Husbandry & Fishing,"Directorate of Fisheries, Odisha",
Animal Husbandry & Fishing,"Madhya Pradesh State Cooperative Dairy Federation Limited (MPCDF), Bhopal, Madhya Pradesh",https://sanchidairy.com/
Animal Husbandry & Fishing,"System for Easy and Legal Issuance of Fuel Permit and Fuel, Kerala",https://self.kerala.gov.in/
Animal Husbandry & Fishing,Committee Control and Supervision of Experiments on Animals,https://ccsea.gov.in/
Animal Husbandry & Fishing,"Animal,Sheep Husbandry and Fisheries Department, Jammu and Kashmir",https://jkash.nic.in/
Animal Husbandry & Fishing,"Gopalan-Dairy (RCDF), Rajasthan",https://sarasmilkfed.rajasthan.gov.in/
Animal Husbandry & Fishing,"Central Poultry Development Organization (CPDO), Eastern Region",
